E (MeV), Flux (arb.)
0.1,4338181616.67
0.2,5559195990.52
0.3,6388576222.98
0.4,7004204269.99
0.5,7478815255.26
0.6,7851674167.8
0.7,8147264709.78
0.8,8382277733.45
0.9,8568798710.17
1.0,8715962614.04
1.1,8830895876.38
1.2,8919290698.74
1.3,8985774362.88
1.4,9034157039.5
1.5,9067604070.19
1.6,9088759584.14
1.7,9099837983.3
1.8,9102693943.52
1.9,9098878029.61
2.0,9089682730.59
2.1,9076182115.9
2.2,9059267100.67
2.3,9039677357.1
2.4,9018030188.03
2.5,8994846202.69
2.6,8970571420.24
2.7,8945595458.67
2.8,8920265683.09
2.9,8894897491.63
3.0,8869781206.14
3.1,8845186231.73
3.2,8821363221.4
3.3,8798544940.81
3.4,8776946411.25
3.5,8756764760.04
3.6,8738179061.9
3.7,8721350332.85
3.8,8706421747.5
3.9,8693519089.83
4.0,8682751411.93
4.1,8674211857.89
4.2,8667978604.84
4.3,8664115876.09
4.4,8662674986.91
4.5,8663695391.44
4.6,8667205706.66
4.7,8673224696.13
4.8,8681762201.84
4.9,8692820017.21
5.0,8706392697.73
5.1,8722468308.25
5.2,8741029107.95
5.3,8762052175.02
5.4,8785509974.25
5.5,8811370870.89
5.6,8839599594.41
5.7,8870157656.15
5.8,8903003724.23
5.9,8938093959.61
6.0,8975382316.32
6.1,9014820809.3
6.2,9056359752.51
6.3,9099947970.13
6.4,9145532983.26
6.5,9193061174.4
6.6,9242477931.6
6.7,9293727774.39
6.8,9346754462.85
6.9,9401501091.62
7.0,9457910170.07
7.1,9515923689.91
7.2,9575483181.32
7.3,9636529758.75
7.4,9699004157.14
7.5,9762846759.52
7.6,9827997616.65
7.7,9894396459.49
7.8,9961982704.97
7.9,10030695455.8
8.0,10100473494.6
8.1,10171255273.1
8.2,10242978896.6
8.3,10315582104.1
8.4,10389002244.7
8.5,10463176249.7
8.6,10538040602.8
8.7,10613531305.5
8.8,10689583841.1
8.9,10766133135.6
9.0,10843113515.8
9.1,10920458666.6
9.2,10998101584.6
9.3,11075974531.6
9.4,11154008985.4
9.5,11232135589.9
9.6,11310284103.7
9.7,11388383348.0
9.8,11466361153.2
9.9,11544144305.2
10.0,11621658491.5
10.1,11698828246.6
10.2,11775576898.0
10.3,11851826511.9
10.4,11927497839.8
10.5,12002510265.7
10.6,12076781754.8
10.7,12150228803.0
10.8,12222766388.9
10.9,12294307927.3
11.0,12364765225.8
11.1,12434048444.6
11.2,12502066059.1
11.3,12568724827.4
11.4,12633929762.1
11.5,12697584107.9
11.6,12759589324.4
11.7,12819845076.8
11.8,12878249233.2
11.9,12934697871.2
12.0,12989085293.6
12.1,13041304054.3
12.2,13091244996.2
12.3,13138797301.7
12.4,13183848556.4
12.5,13226284828.7
12.6,13265990765.8
12.7,13302849707.0
12.8,13336743816.8
12.9,13367554238.4
13.0,13395161269.8
13.1,13419444563.7
13.2,13440283352.2
13.3,13457556698.9
13.4,13471143779.3
13.5,13480924190.3
13.6,13486778291.6
13.7,13488587578.6
13.8,13486235088.6
13.9,13479605841.0
14.0,13468587312.3
14.1,13453069945.1
14.2,13432947692.3
14.3,13408118594.5
14.4,13378485390.7
14.5,13343956160.2
14.6,13304444992.8
14.7,13259872685.9
14.8,13210167463.0
14.9,13155265711.2
15.0,13095112730.3
15.1,13029663489.6
15.2,12958883383.8
15.3,12882748981.2
15.4,12801248755.8
15.5,12714383792.7
15.6,12622168458.6
15.7,12524631025.8
15.8,12421814238.4
15.9,12313775810.9
16.0,12200588845.8
16.1,12082342161.3
16.2,11959140516.6
16.3,11831104725.6
16.4,11698371649.3
16.5,11561094060.5
16.6,11419440372.2
16.7,11273594227.1
16.8,11123753944.9
16.9,10970131827.4
17.0,10812953323.2
17.1,10652456057.8
17.2,10488888734.3
17.3,10322509917.5
17.4,10153586709.8
17.5,9982393337.25
17.6,9809209658.74
17.7,9634319618.34
17.8,9458009659.23
17.9,9280567119.39
18.0,9102278629.52
18.1,8923428533.44
18.2,8744297350.77
18.3,8565160300.66
18.4,8386285903.82
18.5,8207934678.55
18.6,8030357944.09
18.7,7853796742.65
18.8,7678480888.72
18.9,7504628151.92
19.0,7332443577.09
19.1,7162118942.7
19.2,6993832356.59
19.3,6827747985.64
19.4,6664015914.15
19.5,6502772124.12
19.6,6344138589.09
19.7,6188223472.14
19.8,6035121417.93
19.9,5884913928.1
20.0,5737669808.88
20.1,5593445680.11
20.2,5452286534.69
20.3,5314226338.17
20.4,5179288658.28
20.5,5047487315.48
20.6,4918827045.57
20.7,4793304166.85
20.8,4670907244.83
20.9,4551617748.23
21.0,4435410691.24
21.1,4322255257.25
21.2,4212115400.71
21.3,4104950423.81
21.4,4000715525.89
21.5,3899362323.79
21.6,3800839342.06
21.7,3705092472.28
21.8,3612065401.42
21.9,3521700009.25
22.0,3433936735.27
22.1,3348714916.01
22.2,3265973093.5
22.3,3185649296.01
22.4,3107681292.4
22.5,3032006821.32
22.6,2958563796.62
22.7,2887290490.48
22.8,2818125695.63
22.9,2751008868.09
23.0,2685880251.91
23.1,2622680987.15
23.2,2561353202.59
23.3,2501840094.3
23.4,2444085991.4
23.5,2388036410.14
23.6,2333638097.31
23.7,2280839064.09
23.8,2229588611.38
23.9,2179837347.27
24.0,2131537197.68
24.1,2084641410.91
24.2,2039104556.72
24.3,1994882520.66
24.4,1951932494.24
24.5,1910212961.47
24.6,1869683682.27
24.7,1830305673.17
24.8,1792041185.81
24.9,1754853683.42
25.0,1718707815.85
25.1,1683569393.2
25.2,1649405358.53
25.3,1616183759.74
25.4,1583873720.88
25.5,1552445413.12
25.6,1521870025.44
25.7,1492119735.34
25.8,1463167679.48
25.9,1434987924.58
26.0,1407555438.53
26.1,1380846061.91
26.2,1354836479.78
26.3,1329504194.1
26.4,1304827496.55
26.5,1280785441.95
26.6,1257357822.29
26.7,1234525141.38
26.8,1212268590.06
26.9,1190570022.15
27.0,1169411931.07
27.1,1148777427.01
27.2,1128650214.95
27.3,1109014573.18
27.4,1089855332.58
27.5,1071157856.57
27.6,1052908021.64
27.7,1035092198.64
27.8,1017697234.54
27.9,1000710434.98
28.0,984119547.342
28.1,967912744.382
28.2,952078608.532
28.3,936606116.705
28.4,921484625.667
28.5,906703857.939
28.6,892253888.224
28.7,878125130.328
28.8,864308324.575
28.9,850794525.69
29.0,837575091.138
29.1,824641669.902
29.2,811986191.689
29.3,799600856.548
29.4,787478124.878
29.5,775610707.828
29.6,763991558.054
29.7,752613860.84
29.8,741471025.559
29.9,730556677.457
30.0,719864649.762
30.1,709388976.095
30.2,699123883.171
30.3,689063783.785
30.4,679203270.068
30.5,669537107.008
30.6,660060226.21
30.7,650767719.913
30.8,641654835.221
30.9,632716968.571
31.0,623949660.406
31.1,615348590.051
31.2,606909570.797
31.3,598628545.161
31.4,590501580.334
31.5,582524863.807
31.6,574694699.153
31.7,567007501.982
31.8,559459796.042
31.9,552048209.472
32.0,544769471.196
32.1,537620407.453
32.2,530597938.458
32.3,523699075.193
32.4,516920916.309
32.5,510260645.157
32.6,503715526.919
32.7,497282905.853
32.8,490960202.634
32.9,484744911.805
33.0,478634599.31
33.1,472626900.123
33.2,466719515.97
33.3,460910213.123
33.4,455196820.288